graph,method,budget_bpv,seed,config,memory_bytes_per_vertex,preprocess_time_s,mean_expansions,median_expansions,mean_reduction_vs_dijkstra
sbm,ALT,32,42,K=8,32,0.6937757600098848,575.11,293.5,0.891474550460343
sbm,CDH,32,42,"P=64,r=6",30,0.7295235290075652,4613.86,4718.0,0.1293470281980108
sbm,ALT,32,123,K=8,32,0.13004058401566,575.11,293.5,0.891474550460343
sbm,CDH,32,123,"P=64,r=6",30,0.753458316961769,4613.86,4718.0,0.1293470281980108
sbm,ALT,32,456,K=8,32,0.18921001901617274,575.11,293.5,0.891474550460343
sbm,CDH,32,456,"P=64,r=6",30,0.7239747399580665,4613.86,4718.0,0.1293470281980108
sbm,ALT,32,789,K=8,32,0.17529575899243355,575.11,293.5,0.891474550460343
sbm,CDH,32,789,"P=64,r=6",30,0.7600575370015576,4613.86,4718.0,0.1293470281980108
sbm,ALT,32,1024,K=8,32,0.18700731499120593,575.11,293.5,0.891474550460343
sbm,CDH,32,1024,"P=64,r=6",30,0.7362307559815235,4613.86,4718.0,0.1293470281980108
sbm,ALT,64,42,K=16,64,0.223543397965841,320.24,154.0,0.9395694911224292
sbm,CDH,64,42,"P=64,r=12",60,0.7369603160186671,3710.74,3722.0,0.2997692152374556
sbm,ALT,64,123,K=16,64,0.32431119302054867,320.24,154.0,0.9395694911224292
sbm,CDH,64,123,"P=64,r=12",60,0.7446299569564871,3710.74,3722.0,0.2997692152374556
sbm,ALT,64,456,K=16,64,0.2767184289987199,320.24,154.0,0.9395694911224292
sbm,CDH,64,456,"P=64,r=12",60,0.7418918060138822,3710.74,3722.0,0.2997692152374556
sbm,ALT,64,789,K=16,64,0.2131187180057168,320.24,154.0,0.9395694911224292
sbm,CDH,64,789,"P=64,r=12",60,0.7496181260212325,3710.74,3722.0,0.2997692152374556
sbm,ALT,64,1024,K=16,64,0.21385071298573166,320.24,154.0,0.9395694911224292
sbm,CDH,64,1024,"P=64,r=12",60,0.7583657429786399,3710.74,3722.0,0.2997692152374556
sbm,ALT,128,42,K=32,128,0.3761413129977882,148.81,86.5,0.9719189856792677
sbm,CDH,128,42,"P=64,r=25",125,0.7833170109661296,2505.67,2558.0,0.5271705184259838
sbm,ALT,128,123,K=32,128,0.37715647398727015,148.81,86.5,0.9719189856792677
sbm,CDH,128,123,"P=64,r=25",125,0.7192534870118834,2505.67,2558.0,0.5271705184259838
sbm,ALT,128,456,K=32,128,0.3772328339982778,148.81,86.5,0.9719189856792677
sbm,CDH,128,456,"P=64,r=25",125,0.7368120650062338,2505.67,2558.0,0.5271705184259838
sbm,ALT,128,789,K=32,128,0.37369394599227235,148.81,86.5,0.9719189856792677
sbm,CDH,128,789,"P=64,r=25",125,0.7300501759746112,2505.67,2558.0,0.5271705184259838
sbm,ALT,128,1024,K=32,128,0.41265153500717133,148.81,86.5,0.9719189856792677
sbm,CDH,128,1024,"P=64,r=25",125,0.923454275005497,2505.67,2558.0,0.5271705184259838
