query_idx,source,target,hit_expansions,dijkstra_expansions,hit_cost,dijkstra_cost,optimal
0,121958,146867,2573,22339,200758.0,200758.0,True
1,131932,259178,90123,307288,2015522.0,2015522.0,True
2,119879,110268,19430,95354,847211.0,847211.0,True
3,207892,54886,14950,125361,732444.0,732444.0,True
4,137337,87498,49527,209001,1589742.0,1589742.0,True
5,175203,191335,14746,245714,1327912.0,1327912.0,True
6,278167,41090,2061,83625,735872.0,735872.0,True
7,64820,262913,31176,222840,1011505.0,1011505.0,True
8,194027,252709,5320,17335,243653.0,243653.0,True
9,199041,267455,28061,193845,1107639.0,1107639.0,True
10,103355,235796,61742,270259,1324726.0,1324726.0,True
11,214176,184779,21950,223011,1430737.0,1430737.0,True
12,258795,156730,35592,306134,2175585.0,2175585.0,True
13,149503,130523,1548,16385,164915.0,164915.0,True
14,2747,123855,5027,235250,1216561.0,1216561.0,True
15,65725,129981,6997,276145,1332525.0,1332525.0,True
16,84654,67435,15236,148150,1671576.0,1671576.0,True
17,319030,31551,21495,238811,1427874.0,1427874.0,True
18,273538,3890,2428,83567,730462.0,730462.0,True
19,41606,256840,23801,222208,1024517.0,1024517.0,True
20,141699,270936,27954,110858,1179937.0,1179937.0,True
21,239931,239629,222,1220,27598.0,27598.0,True
22,205041,174073,28920,242148,1479754.0,1479754.0,True
23,207624,68148,15435,138022,764399.0,764399.0,True
24,252801,124243,4318,263363,1774511.0,1774511.0,True
25,251995,154555,10053,254122,1699853.0,1699853.0,True
26,48555,256508,39950,198742,947017.0,947017.0,True
27,279303,106530,14221,176137,937844.0,937844.0,True
28,80077,298064,226,7551,594607.0,594607.0,True
29,200551,281601,19633,216352,1212628.0,1212628.0,True
30,208261,240181,2939,63963,416372.0,416372.0,True
31,315139,171829,4240,109180,1038423.0,1038423.0,True
32,271836,202283,8967,143568,794365.0,794365.0,True
33,196769,37065,19722,162449,810926.0,810926.0,True
34,223165,99299,3964,159907,1008732.0,1008732.0,True
35,11534,40397,27367,294528,1565955.0,1565955.0,True
36,257750,263160,1630,44515,262642.0,262642.0,True
37,55591,220884,9215,121475,634494.0,634494.0,True
38,23247,24300,2139,9701,111708.0,111708.0,True
39,82798,9268,13025,143450,1538396.0,1538396.0,True
40,274329,194776,28341,264705,1384427.0,1384427.0,True
41,217851,236584,368,3964,185291.0,185291.0,True
42,38044,313358,27365,294038,1610932.0,1610932.0,True
43,48984,302918,8415,114123,592785.0,592785.0,True
44,264712,120151,31831,230846,1860321.0,1860321.0,True
45,133767,124375,1093,6324,76073.0,76073.0,True
46,179262,136330,15261,184401,1045835.0,1045835.0,True
47,301648,164231,12131,77657,954651.0,954651.0,True
48,13986,61858,2793,59545,346680.0,346680.0,True
49,129312,12666,40079,195760,1438484.0,1438484.0,True
50,300804,134633,16811,183357,1605065.0,1605065.0,True
51,288998,104488,7767,42431,680867.0,680867.0,True
52,183323,284806,54290,317042,1917846.0,1917846.0,True
53,270536,30535,11760,97945,593429.0,593429.0,True
54,314400,297366,5597,123455,1061687.0,1061687.0,True
55,77373,123684,1626,155415,1046200.0,1046200.0,True
56,273109,24538,9949,167691,891807.0,891807.0,True
57,201664,139182,22865,289935,1815996.0,1815996.0,True
58,158338,184064,314,42834,368019.0,368019.0,True
59,214020,98806,75859,319659,2339680.0,2339680.0,True
60,90982,121626,19114,244048,1390952.0,1390952.0,True
61,119176,218126,93568,320861,2660114.0,2660114.0,True
62,218969,122409,15874,273055,1679600.0,1679600.0,True
63,23419,253618,6908,95364,500967.0,500967.0,True
64,245310,50015,19290,135748,792748.0,792748.0,True
65,248550,122096,55673,283987,2016721.0,2016721.0,True
66,107059,185340,19262,116343,1502616.0,1502616.0,True
67,110687,211428,65213,261037,2259583.0,2259583.0,True
68,105878,202982,40881,260141,1996027.0,1996027.0,True
69,198286,249002,26227,120140,659342.0,659342.0,True
70,250396,164899,10468,82185,495980.0,495980.0,True
71,43585,64044,230,20445,209557.0,209557.0,True
72,109556,2693,57009,153964,1805377.0,1805377.0,True
73,243307,200235,5607,75863,477068.0,477068.0,True
74,25939,152906,2892,236201,1224704.0,1224704.0,True
75,18047,288249,23981,239472,1189987.0,1189987.0,True
76,75766,44262,1910,12196,284401.0,284401.0,True
77,285920,161152,3268,81517,1051651.0,1051651.0,True
78,128376,137848,557,2809,50447.0,50447.0,True
79,92787,127948,21810,288960,1535073.0,1535073.0,True
80,55016,21959,2838,52116,313683.0,313683.0,True
81,136602,225928,69833,301593,1919350.0,1919350.0,True
82,265892,228576,1841,16613,375312.0,375312.0,True
83,13545,165838,4243,64522,353220.0,353220.0,True
84,61087,68840,1430,20297,217930.0,217930.0,True
85,118451,313149,969,33602,357103.0,357103.0,True
86,39353,193075,2720,79677,404980.0,404980.0,True
87,214283,314877,26259,235814,1620099.0,1620099.0,True
88,65318,241025,26497,190046,851721.0,851721.0,True
89,67172,216688,14990,220307,995763.0,995763.0,True
90,256951,93264,51042,175326,1118585.0,1118585.0,True
91,246458,288880,44984,236416,1602063.0,1602063.0,True
92,225281,112859,66359,310535,2085407.0,2085407.0,True
93,269536,317824,2772,159697,874891.0,874891.0,True
94,257426,177789,10417,183078,1116694.0,1116694.0,True
95,218164,313003,81506,315778,2618260.0,2618260.0,True
96,125657,235167,60678,272520,1764187.0,1764187.0,True
97,157381,194806,73157,295827,2052468.0,2052468.0,True
98,70467,183734,5506,197682,920148.0,920148.0,True
99,98506,109751,61924,320251,2048685.0,2048685.0,True
