method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions_mean,mean_expansions_std,expansion_reduction_mean,expansion_reduction_std,preprocess_sec_mean,num_seeds
ALT,0,0,4,32,80399.52,0.00,84.68,0.00,3.20,5
ALT,0,0,8,64,64543.48,0.00,87.70,0.00,4.86,5
ALT,0,0,16,128,37919.90,0.00,92.77,0.00,8.22,5
ALT,0,0,32,256,28147.34,0.00,94.64,0.00,14.74,5
FastMap,0,0,8,32,407518.42,0.00,22.34,0.00,2.28,5
FastMap,0,0,16,64,407518.42,0.00,22.34,0.00,5.11,5
FastMap,0,0,32,128,407518.42,0.00,22.34,0.00,11.71,5
FastMap,0,0,64,256,407518.42,0.00,22.34,0.00,29.67,5
AAC,32,8,8,32,133581.65,20595.08,74.54,3.92,51.79,5
AAC,32,16,16,64,75242.14,10834.94,85.66,2.06,64.57,5
AAC,32,32,32,128,41656.49,5544.24,92.06,1.06,53.94,5
AAC,64,8,8,32,137499.34,10690.47,73.80,2.04,77.04,5
AAC,64,16,16,64,77055.39,10906.93,85.32,2.08,68.89,5
AAC,64,32,32,128,49050.73,3417.22,90.65,0.65,69.80,5
AAC,64,64,64,256,31967.53,4811.94,93.91,0.92,76.16,5
AAC,128,8,8,32,129175.74,12427.54,75.38,2.37,95.22,5
AAC,128,16,16,64,94938.36,17591.91,81.91,3.35,95.32,5
AAC,128,32,32,128,49298.61,5320.17,90.61,1.01,95.63,5
AAC,128,64,64,256,37501.46,2950.69,92.85,0.56,110.73,5
