graph,budget_bpv,hit_K0,hit_m,alt_K,seed,hit_mean_exp,alt_mean_exp,hit_reduction_pct,alt_reduction_pct,wilcoxon_stat,p_value_twosided,alt_wins_count
NY,32,64,8,4,42,36108.9,19858.2,72.92,85.11,1226.0,1.304363e-05,67
NY,32,64,8,4,123,30737.2,19858.2,76.95,85.11,1215.0,6.662170e-06,73
NY,32,64,8,4,456,29694.8,19858.2,77.73,85.11,1180.5,3.785378e-06,72
NY,32,64,8,4,789,24085.0,19858.2,81.94,85.11,1613.5,1.724200e-03,60
NY,32,64,8,4,1024,26630.4,19858.2,80.03,85.11,1411.0,1.279903e-04,69
NY,64,64,16,8,42,14491.2,11739.9,89.13,91.20,1945.0,6.433466e-02,58
NY,64,64,16,8,123,13749.8,11739.9,89.69,91.20,1627.5,2.029379e-03,66
NY,64,64,16,8,456,12880.4,11739.9,90.34,91.20,1741.5,1.535830e-02,61
NY,64,64,16,8,789,17526.6,11739.9,86.86,91.20,1000.0,2.630296e-07,72
NY,64,64,16,8,1024,16425.0,11739.9,87.68,91.20,1257.5,1.312085e-05,71
NY,128,64,32,16,42,10116.3,8366.4,92.41,93.73,1339.0,7.340543e-05,70
NY,128,64,32,16,123,10017.5,8366.4,92.49,93.73,1384.5,1.411389e-04,69
NY,128,64,32,16,456,10179.5,8366.4,92.37,93.73,1052.0,1.880453e-06,74
NY,128,64,32,16,789,9155.2,8366.4,93.14,93.73,1914.0,3.565708e-02,60
NY,128,64,32,16,1024,10141.5,8366.4,92.40,93.73,1332.0,6.623775e-05,67
BAY,32,64,8,4,42,49640.9,27631.7,70.03,83.32,1027.0,2.596397e-07,73
BAY,32,64,8,4,123,45029.6,27631.7,72.81,83.32,642.0,3.337563e-09,73
BAY,32,64,8,4,456,58650.9,27631.7,64.58,83.32,911.0,2.865594e-08,74
BAY,32,64,8,4,789,25933.2,27631.7,84.34,83.32,1960.0,5.205786e-02,41
BAY,32,64,8,4,1024,48682.1,27631.7,70.60,83.32,993.0,1.382839e-07,72
BAY,64,64,16,8,42,35392.2,17916.8,78.63,89.18,712.5,2.131351e-09,74
BAY,64,64,16,8,123,22156.4,17916.8,86.62,89.18,1976.0,8.156890e-02,57
BAY,64,64,16,8,456,18685.9,17916.8,88.72,89.18,2064.0,4.226889e-01,56
BAY,64,64,16,8,789,27120.0,17916.8,83.62,89.18,1501.5,1.059352e-03,61
BAY,64,64,16,8,1024,18568.7,17916.8,88.79,89.18,2467.0,9.777241e-01,50
BAY,128,64,32,16,42,12649.2,12460.2,92.36,92.48,2104.5,7.562875e-01,47
BAY,128,64,32,16,123,12371.1,12460.2,92.53,92.48,2010.0,4.014492e-01,54
BAY,128,64,32,16,456,11630.9,12460.2,92.98,92.48,2083.0,9.684287e-01,48
BAY,128,64,32,16,789,18172.8,12460.2,89.03,92.48,980.0,8.390764e-07,69
BAY,128,64,32,16,1024,13234.8,12460.2,92.01,92.48,1692.5,4.171850e-02,58
COL,32,64,8,4,42,37767.0,41902.4,83.66,81.88,2047.0,1.002753e-01,42
COL,32,64,8,4,123,50799.1,41902.4,78.03,81.88,2087.0,1.320707e-01,55
COL,32,64,8,4,456,67620.4,41902.4,70.75,81.88,1351.0,5.423295e-05,67
COL,32,64,8,4,789,41078.3,41902.4,82.23,81.88,2522.5,9.931416e-01,51
COL,32,64,8,4,1024,86756.4,41902.4,62.48,81.88,659.0,1.399803e-10,82
COL,64,64,16,8,42,26808.5,31306.9,88.40,86.46,2243.0,5.178237e-01,50
COL,64,64,16,8,123,35419.8,31306.9,84.68,86.46,2057.0,1.916178e-01,57
COL,64,64,16,8,456,30017.5,31306.9,87.02,86.46,2336.0,6.275697e-01,59
COL,64,64,16,8,789,34301.8,31306.9,85.16,86.46,1765.0,8.971799e-03,65
COL,64,64,16,8,1024,39874.0,31306.9,82.75,86.46,1197.0,1.341130e-05,71
COL,128,64,32,16,42,21848.4,23219.1,90.55,89.96,2316.0,5.789235e-01,53
COL,128,64,32,16,123,19808.3,23219.1,91.43,89.96,1833.5,3.592289e-02,39
COL,128,64,32,16,456,21849.0,23219.1,90.55,89.96,2172.0,2.248503e-01,43
COL,128,64,32,16,789,26602.8,23219.1,88.49,89.96,2313.0,6.901493e-01,47
COL,128,64,32,16,1024,18909.3,23219.1,91.82,89.96,1593.0,3.177358e-03,34
FLA,32,64,8,4,42,123209.0,73625.2,75.98,85.65,1137.0,1.820481e-06,71
FLA,32,64,8,4,123,134383.9,73625.2,73.80,85.65,1003.0,1.666631e-07,74
FLA,32,64,8,4,456,110096.2,73625.2,78.54,85.65,1803.0,1.304749e-02,55
FLA,32,64,8,4,789,165616.3,73625.2,67.71,85.65,589.0,2.802404e-11,80
FLA,32,64,8,4,1024,119956.0,73625.2,76.61,85.65,1358.0,6.007269e-05,65
FLA,64,64,16,8,42,80568.5,59070.5,84.29,88.48,2115.0,2.089332e-01,54
FLA,64,64,16,8,123,75057.2,59070.5,85.37,88.48,2011.0,1.053409e-01,51
FLA,64,64,16,8,456,87256.9,59070.5,82.99,88.48,2090.0,1.347393e-01,55
FLA,64,64,16,8,789,59071.3,59070.5,88.48,88.48,2231.0,3.120798e-01,43
FLA,64,64,16,8,1024,75069.6,59070.5,85.36,88.48,1805.0,1.936163e-02,61
FLA,128,64,32,16,42,46799.6,36715.8,90.88,92.84,1295.0,9.962915e-05,66
FLA,128,64,32,16,123,41166.6,36715.8,91.97,92.84,1632.0,2.354669e-02,59
FLA,128,64,32,16,456,45475.7,36715.8,91.13,92.84,2182.0,3.064710e-01,49
FLA,128,64,32,16,789,49344.4,36715.8,90.38,92.84,1875.0,7.115071e-02,58
FLA,128,64,32,16,1024,50122.6,36715.8,90.23,92.84,1341.5,4.716260e-05,71
