graph,K0,m,uniq_lambda,seed,mean_exp,reduction_pct,unique_fwd,nominal_fwd,unique_bwd,nominal_bwd,effective_unique_ratio,admissibility_violations,all_optimal,prep_time_s
modena,64,16,0.0,42,2064.44,87.06,8,8,8,8,1.0000,0,True,122.17
modena,64,16,0.0,123,2809.14,82.39,8,8,8,8,1.0000,0,True,132.98
modena,64,16,0.0,456,2503.36,84.31,8,8,8,8,1.0000,0,True,147.07
modena,64,16,0.0,789,1960.10,87.71,8,8,8,8,1.0000,0,True,141.68
modena,64,16,0.0,1024,1743.56,89.07,8,8,8,8,1.0000,0,True,135.66
modena,64,16,0.01,42,2064.44,87.06,8,8,8,8,1.0000,0,True,128.55
modena,64,16,0.01,123,2809.14,82.39,8,8,8,8,1.0000,0,True,139.41
modena,64,16,0.01,456,2503.36,84.31,8,8,8,8,1.0000,0,True,143.33
modena,64,16,0.01,789,1960.10,87.71,8,8,8,8,1.0000,0,True,137.24
modena,64,16,0.01,1024,1743.56,89.07,8,8,8,8,1.0000,0,True,126.05
modena,64,16,0.1,42,2064.44,87.06,8,8,8,8,1.0000,0,True,146.62
modena,64,16,0.1,123,2809.14,82.39,8,8,8,8,1.0000,0,True,135.10
modena,64,16,0.1,456,2503.36,84.31,8,8,8,8,1.0000,0,True,142.88
modena,64,16,0.1,789,1960.10,87.71,8,8,8,8,1.0000,0,True,154.55
modena,64,16,0.1,1024,1743.56,89.07,8,8,8,8,1.0000,0,True,132.56
