graph,graph_kind,query_mode,method,bytes_per_vertex,reduction_pct_mean,reduction_pct_std,mean_expansions_mean,preprocess_sec_mean,all_optimal
NY,dimacs,hotspot,ALT,64,90.8497,2.1725,13621.4740,3.8089,True
NY,dimacs,hotspot,AAC,64,85.8242,6.1032,21470.4240,177.2629,True
NY,dimacs,hotspot,Hybrid,128,92.8383,1.8446,10691.5240,181.0718,True
NY,dimacs,powerlaw,ALT,64,91.3584,0.4055,10723.8640,3.8089,True
NY,dimacs,powerlaw,AAC,64,88.5149,1.9812,14226.6400,177.2629,True
NY,dimacs,powerlaw,Hybrid,128,93.7096,0.6807,7796.1480,181.0718,True
NY,dimacs,uniform,ALT,64,91.6018,0.2814,11213.1680,3.8089,True
NY,dimacs,uniform,AAC,64,87.4105,1.7662,16855.2040,177.2629,True
NY,dimacs,uniform,Hybrid,128,93.3547,0.2543,8877.4800,181.0718,True
manhattan,osmnx,hotspot,ALT,64,89.1103,2.6411,248.0900,0.2964,True
manhattan,osmnx,hotspot,AAC,64,87.4511,1.7788,287.7620,203.6910,True
manhattan,osmnx,hotspot,Hybrid,128,91.4300,1.7211,194.4040,203.9874,True
manhattan,osmnx,powerlaw,ALT,64,90.5417,0.7173,214.5280,0.2964,True
manhattan,osmnx,powerlaw,AAC,64,87.6311,2.2475,279.7160,203.6910,True
manhattan,osmnx,powerlaw,Hybrid,128,92.0762,0.8620,179.6060,203.9874,True
manhattan,osmnx,uniform,ALT,64,90.0968,0.4918,224.5360,0.2964,True
manhattan,osmnx,uniform,AAC,64,87.0720,0.8098,292.9640,203.6910,True
manhattan,osmnx,uniform,Hybrid,128,91.7510,0.6657,187.1280,203.9874,True
