graph,budget,K0,m,seed,epochs,mean_expansions,expansion_reduction_pct,dijkstra_mean,alt_ref_pct,forced_first_m_pct
sbm,64,64,16,42,0,307.31,94.2343339587242,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,42,50,307.31,94.2343339587242,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,42,200,307.31,94.2343339587242,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,42,500,308.92,94.20412757973735,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,42,1000,312.51,94.13677298311444,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,43,0,281.42,94.72007504690431,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,43,50,281.42,94.72007504690431,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,43,200,291.32,94.5343339587242,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,43,500,310.83,94.16829268292683,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,43,1000,287.1,94.61350844277673,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,44,0,338.13,93.65609756097561,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,44,50,336.41,93.68836772983114,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,44,200,338.13,93.65609756097561,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,44,500,330.94,93.79099437148217,5330.0,94.52195121951219,94.52195121951219
sbm,64,64,16,44,1000,302.08,94.33245778611632,5330.0,94.52195121951219,94.52195121951219
