graph,budget,K0,m_fwd,m_bwd,seed,epochs,mean_expansions,expansion_reduction_pct,dijkstra_mean,alt_ref_pct,forced_first_m_pct
ny,64,32,8,8,42,0,14580.68,89.06696441927781,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,42,50,14000.98,89.50164104109137,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,42,200,14847.89,88.86660226624208,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,42,500,14684.37,88.98921451602466,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,42,1000,15483.98,88.38964271411272,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,123,0,13627.68,89.78155269008742,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,123,50,13627.68,89.78155269008742,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,123,200,14947.26,88.79209162986187,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,123,500,17182.02,87.11640088057071,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,123,1000,14451.64,89.16372252050056,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,456,0,15266.53,88.55269331168624,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,456,50,14255.89,89.31050180067996,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,456,200,14925.28,88.80857289973846,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,456,500,14693.57,88.98231607731381,133363.51,91.19703733052617,91.19703733052617
ny,64,32,8,8,456,1000,18397.31,86.20513962177509,133363.51,91.19703733052617,91.19703733052617
